province_code,date,title,prize_codes,prize_order
KH79,9-6-2024,G7,937,1
KH79,9-6-2024,G6,0050 8918 5702,2
KH79,9-6-2024,G5,2747,3
KH79,9-6-2024,G4,88096 09398 75555 68340 44903 34139 53589,4
KH79,9-6-2024,G3,87560 34287,6
KH79,9-6-2024,G2,62907,7
KH79,9-6-2024,G1,68310,8
KH79,9-6-2024,ĐB,720703,9
KH79,12-6-2024,G8,78,0
KH79,12-6-2024,G7,657,1
KH79,12-6-2024,G6,5443 6402 7710,2
KH79,12-6-2024,G5,8414,3
KH79,12-6-2024,G4,45383 48590 51721 94444 22781 75101 81247,4
KH79,12-6-2024,G3,50957 41738,6
KH79,12-6-2024,G2,78547,7
KH79,12-6-2024,G1,04189,8
KH79,12-6-2024,ĐB,268689,9
KH79,16-6-2024,G8,42,0
KH79,16-6-2024,G7,620,1
KH79,16-6-2024,G6,2633 6973 9013,2
KH79,16-6-2024,G5,4876,3
KH79,16-6-2024,G4,73401 12082 61136 51238 71154 11014 74719,4
KH79,16-6-2024,G3,43477 49775,6
KH79,16-6-2024,G2,37145,7
KH79,16-6-2024,G1,88134,8
KH79,16-6-2024,ĐB,168831,9
KH79,19-6-2024,G8,97,0
KH79,19-6-2024,G7,630,1
KH79,19-6-2024,G6,2006 0062 5217,2
KH79,19-6-2024,G5,2788,3
KH79,19-6-2024,G4,49538 50361 69124 03791 73475 85951 34984,4
KH79,19-6-2024,G3,07712 31442,6
KH79,19-6-2024,G2,87584,7
KH79,19-6-2024,G1,19828,8
KH79,19-6-2024,ĐB,290340,9
KH79,23-6-2024,G8,48,0
KH79,23-6-2024,G7,861,1
KH79,23-6-2024,G6,5364 4922 7534,2
KH79,23-6-2024,G5,1688,3
KH79,23-6-2024,G4,43079 74695 68343 40928 85151 01364 11342,4
KH79,23-6-2024,G3,93424 81808,6
KH79,23-6-2024,G2,53703,7
KH79,23-6-2024,G1,31961,8
KH79,23-6-2024,ĐB,019015,9
KH79,26-6-2024,G8,25,0
KH79,26-6-2024,G7,233,1
KH79,26-6-2024,G6,0358 0972 1455,2
KH79,26-6-2024,G5,1284,3
KH79,26-6-2024,G4,84922 31546 89836 87355 54897 93146 89992,4
KH79,26-6-2024,G3,70467 47672,6
KH79,26-6-2024,G2,62399,7
KH79,26-6-2024,G1,46460,8
KH79,26-6-2024,ĐB,855306,9
KH79,30-6-2024,G8,37,0
KH79,30-6-2024,G7,820,1
KH79,30-6-2024,G6,7392 8453 4011,2
KH79,30-6-2024,G5,3092,3
KH79,30-6-2024,G4,55145 06842 49119 15160 53200 46667 50065,4
KH79,30-6-2024,G3,04775 98633,6
KH79,30-6-2024,G2,63237,7
KH79,30-6-2024,G1,65734,8
KH79,30-6-2024,ĐB,204068,9
KH79,3-7-2024,G8,21,0
KH79,3-7-2024,G7,306,1
KH79,3-7-2024,G6,2726 4775 9684,2
KH79,3-7-2024,G5,8459,3
KH79,3-7-2024,G4,93632 64746 04073 09011 28883 51624 89831,4
KH79,3-7-2024,G3,65063 98305,6
KH79,3-7-2024,G2,58413,7
KH79,3-7-2024,G1,10122,8
KH79,3-7-2024,ĐB,300596,9
KH79,7-7-2024,G8,36,0
KH79,7-7-2024,G7,555,1
KH79,7-7-2024,G6,9658 9658 3767,2
KH79,7-7-2024,G5,7606,3
KH79,7-7-2024,G4,53158 29496 71820 57103 50862 94556 25681,4
KH79,7-7-2024,G3,00148 00640,6
